,Product,Price,Status
266,"Laptop ultraportabil Lenovo Ideapad S530 cu procesor Intel Core i7-8565U pana la 4.60 GHz Whiskey Lake, 13.3"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics 620, Free DOS, Liquid Blue",3.49999 Lei,în stoc
267,"Laptop Apple MacBook Pro 15, ecran Retina, Touch Bar, procesor Intel® Core™ i7 2.60 GHz, 16GB, 256GB SSD, Radeon Pro 555X W 4GB, macOS Mojave, INT KB, Silver",11.99999 Lei,în stoc
268,"Laptop gaming ASUS ROG Zephyrus M GU502GU cu procesor Intel® Core™ i7-9750H pana la 4.5 GHz Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 16GB, 512GB SSD, NVIDIA® GeForce GTX 1660Ti 6GB, Windows 10, Brushed Black",7.19999 Lei,ultimele 3 produse
269,"Laptop Apple MacBook Air 13 ecran Retina, procesor Intel® Core™ i5 1.6GHz, 8GB, 128GB SSD, Intel UHD Graphics 617, Gold, ROM KB",5.59999 Lei,în stoc
270,"Laptop Gaming Lenovo Legion Y740-17IRHg cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 17.3"", Full HD, IPS, 144Hz, 32GB, 1TB HDD + 512GB SSD, NVIDIA GeForce RTX 2080 Max-Q 8GB, Free DOS, Black",10.99999 Lei,în stoc
271,"Laptop Gaming HP Pavilion 15-ec0004nq cu procesor AMD Ryzen 5 3550H pana la 3.70 GHz, 15.6"", Full HD, 16GB, 512GB SSD, Nvidia GeForce GTX 1650 4GB, Free DOS, Shadow Black",3.49999 Lei,în stoc
272,"Laptop Lenovo Ideapad S145-15IWL cu procesor Intel® Pentium Gold 5405U 2.30 GHz, 15.6"", 4GB, 128GB SSD M.2, Intel UHD Graphics 610, Free DOS, Grey",1.09999 Lei,în stoc
273,"Laptop 2 in 1 HP Elite Dragonfly cu procesor Intel® Core™ i5-8265U pana la 4.60 GHz Whiskey Lake, 13.3"", Full HD, Touch, 16GB, 256GB SSD + 16GB 3D Xpoint SSD, Intel® UHD Graphics 620, Windows 10 Pro, Cobalt Blue",10.49999 Lei,ultimele 3 produse
274,"Laptop Gaming ASUS ROG GL504GS cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 3ms, 8GB, 1TB FireCuda + 256GB SSD, NVIDIA GeForce GTX 1070 8GB, Free DOS, Black",6.99999 Lei,ultimul produs in stoc
275,"Laptop Gaming MSI GS65 Stealth 9SG-1286XRO cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake Refresh, 15.6"", Full HD, 240Hz, 16GB 1TB SSD, nVidia GeForce RTX 2080 MAX Q 8GB, Free DOS, Black",12.49999 Lei,în stoc
276,"Laptop Asus VivoBook 15 X512FJ-EJ324, Intel Core i5-8265U, 15.6inch, RAM 8GB, SSD 512GB, nVidia GeForce MX230 2GB, No OS, Peacock Blue",3.04801 Lei,ultimele 3 produse
277,"Laptop Lenovo ThinkPad E590 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz Whiskey Lake, 15.6"", Full HD, IPS, 8GB, 256Gb SSD, AMD Radeon RX 550X 2GB, Windows 10 Pro, Black",3.79999 Lei,în stoc
278,"Laptop Lenovo Ideapad S145-15IIL cu procesor Intel® Core™ i3-1005G1 pana la .340 GHz Ice Lake, 15.6"", Full HD, 4GB, 1TB HDD + 128GB SSD, Intel UHD Graphics, Free DOS, Platinum Grey",1.79999 Lei,în stoc
279,"Laptop Lenovo ThinkPad E590 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz Whiskey Lake, 15.6"", Full HD, IPS, 16GB, 512GB SSD, Intel UHD Graphics 620, Windows 10 Pro, Black",4.59999 Lei,în stoc
280,"Laptop Ultraportabil HP Pavilion 13-an1000nq cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz Ice Lake, 13.3"", Full HD, IPS, 8GB, 512GB SSD, Intel® UHD Graphics, Free DOS, Silver",3.19999 Lei,în stoc
281,"Laptop ultraportabil HP ENVY 13-aq1007nq cu procesor Intel® Core™ i7-10510U pana la 4.90 GHz Comet Lake, 13.3"",Full HD, IPS, 8GB, 256GB SSD, Nvidia GeForce MX250 2GB, Windows 10 Home, Natural silver",5.49999 Lei,ultimele 2 produse
282,"Laptop Gaming OMEN by HP 15-dc1037nq cu procesor Intel® Core™ i7-9750H pana la 4.5 GHz, 15.6"", Full HD, 8GB, 128GB SSD M.2 + 1TB HDD, NVIDIA® GeForce® GTX 1660 Ti 6GB, Free DOS, Black",5.29999 Lei,în stoc
283,"Laptop HP ProBook 470 G5 cu procesor Intel® Core™ i3-8130U pana la 3.40 GHz, Kaby Lake, 17.3"", Full HD, 8GB, 256GB SSD, NVIDIA GeForce 930MX 2GB, FPR, Free DOS, Silver",2.79999 Lei,în stoc
284,"Laptop ultraportabil ASUS UX333FAC cu procesor Intel® Core™ i5-10210U pana la 4.20 GHz Comet Lake, 13.3"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Windows 10, Royal Blue",3.99999 Lei,în stoc
285,"Laptop HP ProBook 450 G6 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 1TB, Intel® UHD Graphics 620, Free DOS, Silver",2.69999 Lei,ultimele 2 produse
286,"Laptop ultraportabil Allview Allbook Q cu procesor Qualcomm® Snapdragon™ 835 pana la 2.45 GHz, 13.3"", Full HD, IPS, 4GB, 64GB UFS 2.1, 4G, Qualcomm® Adreno™ 540, Windows 10 Home",1.89999 Lei,în stoc
287,"Laptop 2 in 1 Lenovo Yoga C740-15IML cu procesor Intel® Core™ i7-10510U pana la 4.90 GHz Comet Lake, 15.6"", Full HD, HDR, IPS, Touch, 16GB, 1TB SSD, Intel UHD Graphics, Windows 10 Home, Mica",5.39999 Lei,în stoc
288,"Laptop HP 15-bs155nq, Intel Core i3-5005U, 4GB DDR3L, HDD 1TB, Intel HD Graphics, Free DOS",1.39999 Lei,în stoc
289,"Laptop Gaming Dell Inspiron 3590 cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, 8GB, 1TB HDD + 256GB SSD, NVIDIA GeForce 1660Ti 6GB, Windows 10 Home, Black",5.49999 Lei,ultimele 2 produse
290,"Laptop ultraportabil HP 14s-dq0001nq cu procesor Intel® Celeron™ N4000 pana la 2.60 GHz Gemini Lake, 14"", HD, 4GB, 128GB SSD, Intel® UHD Graphics 600, Windows 10 Home, Natural silver",1.49999 Lei,în stoc
291,"UltraBook ASUS ZenBook Pro 15 UX580GE-BO013R cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, Touch, 8GB, 512GB SSD, NVIDIA GeForce GTX 1050 Ti 4GB, Microsoft Windows 10 Pro, Deep Dive Blue",8.09999 Lei,în stoc
292,"Laptop ASUS A540MA cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, Intel UHD Graphics 600, Endless OS, Chocolate Black",1.04999 Lei,în stoc
293,"Laptop HP Pavilion 15-cs3001nq cu procesor Intel® Core™ i7-1065G7 pana la 3.90 Ice Lake, 15.6"", Full HD, IPS, 8GB, 512GB SSD, NVIDIA® GeForce® MX250 2GB, Windows 10 Home, Silver",4.29999 Lei,în stoc
294,"Laptop ultraportabil ASUS UX333FAC cu procesor Intel® Core™ i7-10510U pana la 4.90 GHz Comet Lake, 13.3"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics, Windows 10 Home, Royal Blue",4.79999 Lei,în stoc
295,"Laptop Lenovo Ideapad S340-15IIL cu procesor Intel® Core™ i7-1065G7 pana la 3.90 GHz Comet Lake, 15.6"", Full HD, IPS, 8GB, 1TB HDD + 256GB SSD, Intel Iris Plus Graphics, Free DOS, Abyss Blue",3.19999 Lei,în stoc
296,"Laptop ultraportabil Dell Latitude 5491 cu procesor Intel® Core™ i5-8400H pana la 4.20 GHz Coffee Lake, 14"", Full HD, 8GB, 256GB SSD, Nvidia GeForce MX130 2GB, Windows 10 Pro, Black",4.99999 Lei,ultimul produs in stoc
297,"Laptop gaming ASUS ROG Strix G G731GT cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 17.3"", Full HD, IPS, 120Hz, 8GB, 256GB SSD + 1TB HDD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Black",4.99999 Lei,în stoc
298,"Laptop Gaming Lenovo Legion Y740-17IRHg cu procesor Intel Core i7-9750H pana la 4.5 GHz Coffee Lake, 17.3"", Full HD, 144 Hz, 32GB, 1TB HDD + 1TB SSD, NVIDIA GeForce RTX 2080 Max Q 8GB, Free DOS, Black",11.79999 Lei,în stoc
299,"NoteBook 13.3"" Fujitsu LIFEBOOK E734, Intel® Core™ I5 2.6GHz-3.1GHz, 8GB Ram, 120GB SSD, Intel® HD Graphics 4000",1.39900 Lei,livrare in 3 zile
300,"Laptop HP 15-dw0000nq cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz Whiskey Lake, 15.6"", HD, 8GB, 256GB SSD, Intel® UHD Graphics, Free DOS, Natural Silver",2.19999 Lei,în stoc
301,"Laptop Gaming Lenovo Legion Y530-15ICH cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 8GB, 512GB SSD, NVIDIA GeForce GTX 1050 Ti 4GB, Free DOS, Black",3.99999 Lei,ultimele 3 produse
302,"Laptop HP 17-ca1001nn cu procesor AMD Ryzen 5 3500U pana la 3.70 GHz, 17.3"", Full HD, IPS, 16GB, 1TB HDD + 256GB SSD, AMD Radeon Vega Integrated Graphics , Windows 10 Home, Jet Black",3.49999 Lei,în stoc
303,"Laptop Dell Inspiron 3593 cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz Ice Lake, 15.6"", Full HD, 4GB, 1TB HDD, NVIDIA GeForce MX230 2GB, Windows 10 Home, Black",2.79999 Lei,în stoc
304,"Laptop Lenovo Ideapad S145-15IIL cu procesor Intel® Core™ i5-1035G4 pana la 3.70 GHz Ice Lake, 15.6"", Full HD, 4GB, 1TB HDD, Intel Iris Plus Graphics, Free DOS, Platinum Grey",2.19999 Lei,în stoc
305,"Laptop ultraportabil Lenovo Ideapad S540-14IML cu procesor Intel® Core™ i5-10210U pana la 4.20 Comet Lake, 14"", Full HD, IPS, 8GB, 512GB SSD, NVIDIA GeForce MX250 2GB, Free DOS, Abyss Blue",3.19999 Lei,în stoc
306,"Laptop Gaming OMEN by HP 15-dc1014nq cu procesor Intel® Core ™ i5-8300H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 256GB SSD, NVIDIA GeForce RTX 2060 6GB, Free DOS, Shadow Black",4.39999 Lei,ultimul produs in stoc
307,"Laptop Gaming OMEN by HP 15-dc1039nq cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 8GB, 1TB HDD, NVIDIA® GeForce® GTX 1660 Ti 6GB, Free DOS, Black",4.99999 Lei,în stoc
308,"Laptop Apple MacBook Air 13 ecran Retina, procesor Intel® Core™ i5 1.6GHz, 8GB, 256GB SSD, Intel UHD Graphics 617, Space Grey, INT KB",6.64999 Lei,ultimele 2 produse
309,"Laptop ultraportabil Lenovo ThinkPad E490 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz Whiskey Lake, 14"", Full HD, IPS, 8GB, 1TB HDD, AMD Radeon RX 550X 2GB, Windows 10 Pro, Black",4.49999 Lei,în stoc
310,"Laptop ultraportabil Lenovo Yoga S740-14IIL cu procesor Intel® Core™ i7-1065G7 pana la 3.90 GHz Ice Lake, 14"", UHD, HDR, IPS, 16GB, 1TB SSD, Intel Iris Plus Graphics, Windows 10 Home, Mica",5.89990 Lei,în stoc
311,"Laptop ultraportabil Asus UX431FL cu procesor Intel® Core™i5-8265U pana la 3.90 GHz, 14"", Full HD, 8GB, 512GB SSD, NVIDIA GeForce MX250 2GB, Endless OS, Utopia Blue Metal",3.79999 Lei,ultimele 3 produse
312,"Laptop Gaming ASUS TUF FX504GM cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, 120Hz, 8GB, 1TB SSHD, NVIDIA GeForce GTX 1060 6GB, Free DOS, Gun Metal",4.29999 Lei,ultimele 2 produse
313,"Laptop ASUS X512FA cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, 15.6"", Full HD, 8GB, 1TB HDD, Intel UHD Graphics 620, Free DOS, Coral Crush",2.99999 Lei,în stoc
314,"Laptop Toshiba Portege Z20t-B-108 , M-5Y51,4GB,128GB SSD,12.5"" FHD, 1920X1080 ,2-1 TOUCHSCREEN ,WIN8P",2.39000 Lei,în stoc
315,"Laptop Gaming Lenovo Legion Y540 -17IRH cu procesor Intel Core i5-9300H pana la 4.10 GHz Coffee Lake, 17.3"", Full HD, IPS, 16GB, 512GB SSD, NVIDIA GeForce GTX 1660 Ti 6GB, Free DOS, Black",4.99999 Lei,ultimele 2 produse
316,"Laptop Lenovo ideapad S145-15IWL cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 1TB + 128GB SSD, Intel UHD Graphics 620, Free DOS, Grey",1.74999 Lei,în stoc
317,"Laptop HP 250 G7 cu procesor Intel® Celeron™ N4000 pana la 2.60 GHz Gemini Lake, 15.6"", HD, 4GB, 500GB HDD, Intel UHD Graphics, Free DOS, Dark Ash Silver",94999 Lei,în stoc
318,"Laptop Gaming Lenovo Legion Y540-17IRH cu procesor Intel Core i5-9300H pana la 4.1GHz, 17.3"", Full HD, 16GB, 512GB SSD M.2, NVIDIA GeForce RTX 2060 6GB, Free DOS, Black",5.39999 Lei,ultimul produs in stoc
319,"Laptop ultraportabil HP ENVY 13-ah1005nn cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 13.3"", Full HD, IPS, 8GB, 256GB SSD, Intel® UHD Graphics 620, Microsoft Windows 10, Silver",4.19999 Lei,ultimele 2 produse
320,"Laptop ultraportabil Lenovo YOGA S730-13IWL cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake 13.3"", Full HD, IPS, 16GB, 512GB SSD M.2, Intel® UHD Graphics 620, Microsoft Windows 10, Iron Grey",5.48999 Lei,în stoc furnizor
321,"Laptop ASUS VivoBook 15 X540UA cu procesor Intel® Core™ i3-7020U 2.30 GHz Kaby Lake, 15.6"", Full HD, 4GB, 256GB SSD, Intel® HD graphics 620, Endless OS, Chocolate Black",1.59999 Lei,ultimul produs in stoc
322,"Laptop Gaming MSI GE65 Raider 9SE-256XRO cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake Refresh, 15.6"", Full HD, 240Hz, 16GB, 512GB SSD, nVidia GeForce RTX 2060 6GB, Free DOS, Black",6.79999 Lei,în stoc
323,"Laptop ultraportabil Lenovo Yoga S740-14IIL cu procesor Intel® Core i7-1065G7 pana la 3.90 GHz Ice Lake, 14"", Full HD, IPS, 16GB, 1TB SSD, NVIDIA GeForce MX250 2GB, Windows 10 Home, Iron Grey",5.29999 Lei,ultimele 2 produse
324,"Laptop HP 250 G7 cu procesor Intel Core i5- 8265U pana la 3.9 GHz, 15.6"", HD, 4GB, 256GB SSD M.2, NVIDIA GeForce MX110 2GB, Free DOS, Dark Ash Silver",2.19999 Lei,ultimul produs in stoc
325,"Laptop Ultraportabil Lenovo Yoga S940-14IIL cu procesor Intel Core i7-1065G7 pana la 3.90 GHz Ice Lake, 14"", UHD, IPS, 16GB, 1TB SSD, Intel Iris Plus Graphics, Windows 10 Home, Mica",9.49999 Lei,în stoc
326,"Laptop Gaming Lenovo Legion Y740-17IRHg cu procesor Intel Core i7-9750H pana la 4.5 GHz, 17.3"", Full HD, IPS, 144 Hz, G-Sync, 16GB, 1TB SSD M.2, NVIDIA GeForce RTX 2060 6GB, Free DOS, Black",7.79999 Lei,în stoc
327,"Laptop utraportabil ASUS UX433FAC cu procesor Intel® Core™ i7-10510U pana la 4.90 GHz Comet Lake, 14"", Full HD, 16GB, 512GB SSD, Intel UHD Graphics 620, Windows 10, Royal Blue",4.99999 Lei,în stoc
328,"Laptop HP 15-da0012nq cu procesor Intel® Core™ i3-7020U pana la 4.00 GHz Kaby Lake R, 15.6"", Full HD, 4GB, 1TB HDD, DVD-RW, Nvidia GeForce MX110 2GB, Free DOS, Jet Black",1.69999 Lei,în stoc
329,"Laptop Apple MacBook Air 13 ecran Retina, procesor Intel® Core™ i5 1.6GHz, 8GB, 128GB SSD, Intel UHD Graphics 617, Silver, ROM KB",5.59999 Lei,ultimele 3 produse
330,"Laptop MYRIA MY8311PK, Intel® Celeron® N4000 pana la 2.4GHz, 13.3"" Full HD IPS, 4GB, 32GB eMMC, Intel® HD Graphics 600, Windows 10 Home",84847 Lei,ultimul produs in stoc
331,"Laptop HP Pavilion 15-cs3004nq cu procesor Intel® Core™ i7-1065G7 pana la 3.90 GHz Ice Lake, 15.6"", Full HD, IPS, 8GB, 512GB SSD, Nvidia GeForce MX250 4GB, Free DOS, Mineral Silver",3.79999 Lei,în stoc
332,"Laptop ASUS VivoBook 15 A505ZA-EJ665 cu procesor AMD Ryzen™ 3 2200U pana la 3.40 GHz, 15.6"", Full HD, 4GB, 256GB SSD, Radeon™ Vega 3 Graphics, Endless OS, Dark Grey",1.59999 Lei,ultimele 3 produse
333,"Laptop Lenovo ThinkPad X1 Carbon 6th cu procesor Intel® Core™ i7-8550U pana la 4.00 GHz, Kaby Lake R, 14"", WQHD, IPS, 16GB, 512GB SSD, 4G LTE-A, Intel® UHD Graphics 620, Microsoft Windows 10 Pro, Black",11.49999 Lei,ultimele 2 produse
334,"Laptop ASUS VivoBook X512FJ cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 1TB HDD, NVIDIA GeForce MX230 2GB, Free DOS, Slate Gray",2.59999 Lei,în stoc
335,"Laptop ASUS VivoBook X512FJ cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 1TB HDD, NVIDIA GeForce MX230 2GB, Free DOS, Slate Gray",2.59999 Lei,în stoc
336,"Laptop Gaming Dell Inspiron G3 3590 cu procesor Intel® Core™ i5-9300H pana la 4.10 GHz, 15.6"", Full HD, 8GB, 256GB SSD + 1TB HDD, NVIDIA GeForce GTX 1050 3GB, Windows 10 Pro, Black",3.99999 Lei,ultimele 2 produse
337,"Laptop Asus ZenBook 14 UM431DA-AM030, AMD Ryzen 7 3700U, 16GB DDR4, SSD 1TB, AMD Radeon RX Vega 10 Graphics, Endless OS",3.94999 Lei,în stoc
338,"Laptop Lenovo Ideapad S340-15IIL cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz Ice Lake, 15.6"", Full HD, IPS, 8GB, 1TB HDD + 256GB SSD, Intel UHD Graphics, Free DOS, Abyss Blue",2.69999 Lei,în stoc
339,"Laptop ultraportabil HP ENVY 13-aq1003nq cu procesor Intel® Core™ i5-10210U pana la 4.20 GHz Comet Lake, 13.3"", Full HD, 8GB, 512GB SSD, Intel® UHD Graphics, Windows 10 Home, Silver",4.49999 Lei,în stoc
340,"Laptop LENOVO Thinkpad x240, Procesor Intel Core i5 1.90GHz - Turbo 2.90Ghz, 8GB DDR3, 120GB SSD, 12.5 inch",1.69900 Lei,livrare in 3 zile
341,"Laptop ultraportabil ASUS VivoBook 14 X412FA cu procesor Intel® Core™ i5-8265U pana la 3.9GHz, 14"", Full HD, 8GB, 512GB SSD M.2, Intel UHD Graphics 620, Free DOS, Slate Grey",2.99999 Lei,ultimul produs in stoc
342,"Laptop 2 in 1 Lenovo YOGA 730-13IWL cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 13.3"", UHD, IPS, Touch, 8GB, 512GB SSD, Intel® UHD Graphics 620, Microsoft Windows 10, Platinum, Bluetooth Active Pen",6.10999 Lei,în stoc furnizor
343,"Laptop ultraportabil Lenovo Ideapad S530-13IWL cu procesor Intel Core i3-8145U pana la 3.9 GHz, Whiskey Lake, 13.3"", Full HD, 8GB, 512GB SSD M.2, Intel UHD Graphics 620, Onyx Black",2.69999 Lei,în stoc
344,"Laptop ultraportabil Lenovo ThinkBook 13S cu procesor Intel® Core™ i7-8565U pana la 4.6 GHz Whiskey Lake, 13.3"", Full HD, 16GB, 512GB SSD M.2, Intel® UHD Graphics 620, Windows 10 Pro, Mineral Gray",4.89999 Lei,ultimul produs in stoc
345,"Laptop gaming ASUS ROG G703GXR cu procesor Intel® Core™ i9-9980HK pana la 5.00 GHz Coffee Lake, 17.3"", Full HD, IPS, 144Hz, G-Sync, 64GB, 1.5TB SSD + 1TB HDD, NVIDIA® GeForce RTX™ 2080 8GB, Windows 10, Titanium Gray",20.99999 Lei,ultimele 2 produse
346,"Laptop HP ProBook 450 G6 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, NVIDIA GeForce MX130 2GB, Microsoft Windows 10 Pro, Silver",3.76999 Lei,în stoc furnizor
347,"Laptop DELL Inspiron 5570, 15.6"" FHD, Intel Core i7-8550U, 16GB DDR4 2400 MHz, 256GB SSD + 2TB HDD, AMD Radeon 530 4GB, Windows 10 Home, Silver",4.74900 Lei,în stoc
348,"Laptop Lenovo ThinkPad E590 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 15.6"", Full HD, IPS, 8GB, 256GB SSD, Intel® UHD Graphics 620, Microsoft Windows 10 Pro, Black",4.29999 Lei,ultimul produs in stoc
349,"Laptop ASUS X509FA-EJ049, 15.6"" FHD, Intel Core i7-8565U (8M Cache, up to 4.60 GHz), Intel UHD Graphics 620, 8GB DDR4 2400Mhz (4GB onboard + 4GB SODIMM), SSD 512GB M.2 NVME + slot SATA3, NO ODD, Slate Gray, Endless OS",2.74771 Lei,în stoc
350,"Laptop Dell Inspiron 3782 cu procesor Intel Pentium Silver N5000 pana la 2.70 GHz, 17.3"", HD+, 4GB, 1TB HDD, DVD-RW, Intel UHD Graphics 605, Ubuntu, Black",1.69999 Lei,ultimele 2 produse
351,"Laptop 2 in 1 ASUS ZenBook Flip 13 UX362FA cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 13.3"", Full HD, Touch, 8GB, 512GB SSD, Intel UHD Graphics 620, Microsoft Windows 10, Royal Blue",5.59999 Lei,ultimele 2 produse
352,"Laptop Lenovo V330-15IKB cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 512GB SSD, AMD Radeon 530 2GB, Free DOS, Iron Grey",2.39999 Lei,în stoc
353,"Laptop ultraportabil ASUS UX333FLC cu procesor Intel® Core™ i5-10210U pana la 4.20 GHz Comet Lake, 13.3"", Full HD, 8GB, 512GB SSD, NVIDIA GeForce MX250 2GB, Windows 10, Royal Blue",4.49999 Lei,în stoc
354,"Laptop ultraportabil ASUS VivoBook S14 S430FN cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, Whiskey Lake, 14"", Full HD, 4GB, 512GB SSD, NVIDIA GeForce MX150 2GB, Free DOS, Gun Metal",2.99999 Lei,în stoc
355,"Laptop Gaming Alienware Area 51M, 17.3"" FHD, Intel Core i7-9700K (8-Core, 12MB Cache, up to 4.9GHz w/ Turbo Boost), NVIDIA GeForce RTX 2080 8GB GDDR6, 64GB DDR4 2400MHz, 2TB RAID0 (2x 1TB PCIe M.2 SSDs), No ODD, Windows 10 Pro",32.22299 Lei,livrare in 3 zile
356,"Laptop ultraportabil Lenovo Yoga S740-14IIL cu procesor Intel® Core™ i5-1035G4 pana la 3.70 GHz Ice Lake, 14"", Full HD, IPS, 8GB, 1TB SSD, Intel Iris Plus Graphics, Windows 10 Home, Mica",4.19999 Lei,ultimele 3 produse
357,"Laptop Acer Aspire 3 A315-53 cu procesor Intel® Pentium® 4417U 2.30 GHz, Kaby Lake R, 15.6"", Full HD, 4GB, 1TB, Intel HD Graphics 610, Endless OS, Black",1.19999 Lei,ultimele 2 produse
358,"Laptop MYRIA MY8305GD, Intel® Celeron® N3350 pana la 2.4GHz, 13.3"", 4GB, eMMC 32GB, Intel® HD Graphics 500, Windows 10 Home",89845 Lei,în stoc
359,"Laptop Lenovo ThinkPad L590 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 16GB, 512GB SSD, Intel UHD Graphics 620, Window 10 Pro, Black",4.49999 Lei,ultimul produs in stoc
360,"Laptop Asus ZenBook 14 UM431DA-AM007, AMD Ryzen 5 3500U, 8GB DDR4, SSD 512GB, AMD Radeon Vega 8 Graphics, Endless OS",2.89999 Lei,în stoc
361,"Laptop Gaming Lenovo Legion Y740-17IRHg cu procesor Intel Core i7-9750H pana la 4.5 GHz, 17.3"", Full HD, IPS, 144 Hz, G-Sync, 16GB, 1TB SSD M.2, NVIDIA GeForce RTX 2070 Max-Q 8GB, Free DOS, Black",8.79999 Lei,în stoc
362,"Laptop Dell Latitude E5440 Procesor Intel® Core™ i5 1.90GHz up to 2.90Ghz, 8GB, 500GB, video Intel® HD Graphics",1.46000 Lei,livrare in 3 zile
363,"Laptop Gaming Dell G3 3779 cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz Coffee Lake, 17.3"", Full HD, IPS, 16GB, 1TB HDD + 128GB SSD, Nvidia GeForce GTX 1050 Ti 4GB, Linux, Black",4.99999 Lei,în stoc
364,"Laptop ultraportabil Lenovo Ideapad S340-14IWL cu procesor Intel Core i3-8145U pana la 3.9 GHz, 14"" Full HD, IPS, 8GB, 128GB SSD M.2 + 1TB HDD, Intel UHD Graphics 620, Free DOS, Abyss Blue",2.24999 Lei,în stoc
365,"Laptop Lenovo V130-15IKB cu procesor Intel Core i5-8250U pana la 3.40 GHz, 15.6"", Full HD, 8GB, 256GB SSD, DVD-RW, Intel HD Graphics 620, Free DOS, Iron Grey",2.29999 Lei,în stoc
366,"Laptop Gaming OMEN by HP 15-dc0018nq cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 8GB, 1TB, NVIDIA GeForce GTX 1050 Ti 4GB, Free DOS, Black",5.19999 Lei,ultimul produs in stoc
367,"Laptop Gaming Acer Predator Helios 300 PH317-53 cu procesor Intel® Core™ i7-9750H pana la 4.5 GHz, 17.3"", Full HD, IPS, 144Hz, 16GB, 256GB SSD + 1TB HDD, GeForce RTX 2070 8GB, Free DOS, Abyssal Black",8.19999 Lei,în stoc
368,"Laptop Apple MacBook Pro 15, ecran Retina, Touch Bar, procesor Intel® Core™ i7 2.60 GHz, 16GB, 256GB SSD, Radeon Pro 555X W 4GB, macOS Mojave, ROM KB, Silver",11.99999 Lei,stoc epuizat
369,"Laptop ultraportabil Lenovo ThinkPad E490 cu procesor Intel® Core™ i7-8565U pana la 4.6 GHz, Whiskey Lake, 14"", Full HD, 8GB, 512GB SSD M.2, AMD Radeon RX 550X 2GB, Windows 10 Pro, Black",4.89999 Lei,în stoc
370,"Laptop Lenovo IdeaPad L340-17API, AMD Ryzen 5 3500U, 8GB DDR4, HDD 1TB + SSD 128GB, AMD Radeon Vega 8, Free DOS",2.14999 Lei,în stoc
371,"Laptop Razer Blade Pro 17 2019, display 17.3 inch FHD 144Hz, procesor Intel® 6 Core™ 9th i7-9750H 2.6GHz, 16GB RAM, 512GB SSD, NVidia GeForce RTX 2070 8GB, Windows 10 Home, Matte Black",17.73100 Lei,ultimul produs in stoc
